id,name,lat,lon,type,demand_liters,service_min
0,DEPOT_DKRTH_Rayon_Timur,-7.26421452253221,112.753214511228,depot,0,0
1,Kendalsari Wonorejo,-7.31255,112.789637,park,11250,45
2,Raya Pandugo,-7.319727,112.794787,park,7500,30
3,Kedung Baruk Timur,-7.31683485898451,112.78069231604,park,27000,108
4,Mer Kedung Asem,-7.32257221298287,112.775061902115,park,22500,90
5,Mer Gunung Anyar,-7.33994593383314,112.78546,park,10500,42
6,Bratang Rmi,-7.29896176278623,112.759670015718,park,1500,6
7,Ngagel Jaya,-7.288833,112.75738,park,5250,21
8,Ngagel Jaya Selatan,-7.293365,112.753796,park,3750,15
9,Pucang,-7.28879919715402,112.762143539157,park,2625,10.5
10,Kertajaya,-7.278375,112.756881,park,4125,16.5
11,Dharmawangsa,-7.2728,112.756301,park,3000,12
12,Karang Menjangan,-7.27089056864984,112.760920864122,park,1687.5,6.75
13,Raya Menur,-7.278044,112.762368,park,1687.5,6.75
14,Raya Karangmenjangan,-7.268388,112.760846,park,1875,7.5
15,Putro Agung,-7.249943,112.76848,park,9750,39
16,Raya Bronggalan,-7.25694180667573,112.764340069897,park,12000,48
17,Dharmahusada Indah 1,-7.27207346364731,112.777723978767,park,6750,27
18,Kaliwaron,-7.26348940807039,112.770157852632,park,1875,7.5
19,Tambang Boyo,-7.263357,112.757338,park,1687.5,6.75
20,Rotonde Muestopo,-7.28802247292814,112.703869004372,park,3600,14.4
21,Mulyorejo Utara,-7.26357891598228,112.782181970799,park,1312.5,5.25
22,Sutorejo,-7.26154,112.787889,park,6750,27
23,Kalisari,-7.26475264285899,112.807644255264,park,1875,7.5
24,Mulyosari,-7.26605741948638,112.796030530819,park,13500,54
25,Kalirungkut,-7.309432,112.769588,park,6750,27
26,Rungkut Alang-Alang,-7.322853,112.773905,park,10500,42
27,Rungkut Asri,-7.32576914483572,112.775604760269,park,1275,5.1
28,Rungkut Yakaya,-7.33161376641347,112.775098593619,park,4125,16.5
29,Kedung Asem,-7.319442,112.776129,park,562.5,2.25
30,Rungkut Pasar Pahing,-7.33063,112.770922,park,1875,7.5
31,Dharmahusada Permai,-7.272785,112.784114,park,13500,54
32,Dharmahusada Utara 8,-7.268736,112.77994,park,9750,39
33,Merr Kalijudan Tepi (A),-7.249705,112.784338,park,6000,24
34,Dharmahusada Indah 2,-7.272841,112.771997,park,13500,54
35,Jemur Handayani,-7.32793482139103,112.738295009855,park,15000,60
36,Jemursari,-7.328991,112.731446,park,15000,60
37,Puskesmas Jemursari (Aset),-7.32841166357431,112.739640893599,park,1650,6.6
38,Rotonde Raya Prapen,-7.31063436082465,112.757911740128,park,4050,16.2
39,Kutisari,-7.32935942928463,112.746175962881,park,4125,16.5
40,Merr Kopertis,-7.28876414593385,112.780786693197,park,22500,90
41,Ir. Soekarno,-7.30852362389809,112.780304813097,park,27000,108
42,Merr Kalijudan Tepi (B),-7.25669400439523,112.782129447355,park,40500,162
43,Arif Rahman Hakim (Arah UHT),-7.2903858852801,112.788765657731,park,4875,19.5
44,Raya Manyar,-7.29420087752013,112.762245843231,park,12000,48
45,Semolowaru Utara,-7.2995788959269,112.779309142266,park,3750,15
46,Arif Rahman Hakim (Arah ITATS),-7.28981121143278,112.778004634946,park,8250,33
47,Sungai depan Stikom,-7.3104301669592,112.782246755245,refill,0,12
48,Selokan Depan Perumahan YKP Pandugo I,-7.32081795481247,112.789713698518,refill,0,12
49,Selokan Depan Samator,-7.31026453029393,112.773219146504,refill,0,12
50,Selokan Dekat Pizza Hut Merr,-7.29794390583232,112.782018565984,refill,0,12
51,sungai dekat hotel narita,-7.305785,112.760741,refill,0,12
52,sungai dekat bakmie PGM,-7.29389645314741,112.757028978886,refill,0,12
53,sungai dekat apotik Kimia Farma Pucang,-7.293485,112.757126,refill,0,12
54,Sungai Sebelah Puskesmas Pucang,-7.28652076453407,112.754515307842,refill,0,12
55,Sungai Sebelah Masakan Padang Pucang,-7.28234901608304,112.755378736678,refill,0,12
56,Sungai Sebelah Toko Kertas Sari Agung,-7.27404599419462,112.756197999705,refill,0,12
57,Sungai Sebelah Vokasi Unair,-7.27401043400621,112.757326352338,refill,0,12
58,Tandon Sumur Depan Lapangan Hoky,-7.26748914729655,112.756483225181,refill,0,12
59,Sungai Seberang Soto Madura Cabang Kalasan,-7.26024829309729,112.759210278096,refill,0,12
60,Sungai Seberang Alfamidi Gresikan,-7.25613837328099,112.76502468067,refill,0,12
61,Sungai Seberang Ampera Restu Mulya,-7.25181775658414,112.767250606375,refill,0,12
62,Sungai Seberang Indomaret Putro Agung,-7.24880778756987,112.768772395435,refill,0,12
63,Selokan Dharmahusada Indah Utara XIV,-7.26693995937854,112.780430695069,refill,0,12
64,Selokan Depan Pool Blue Bird Mulyorejo,-7.258080050107512,112.79753714606103,refill,0,12
65,Selokan Depan Vilia Mulyosari,-7.26185183776644,112.795446215441,refill,0,12
66,Selokan Depan Bhaskara Sari,-7.267703751833873,112.79633016501913,refill,0,12
67,Sungai Pertigaan Poltek,-7.283663384513563,112.7621692641018,refill,0,12
68,Selokan Depan SPBU Mulyosari,-7.271297553109483,112.796831144931,refill,0,12
69,Sungai Dekat Polsek Rungkut Asri,-7.32693941892664,112.77960328535,refill,0,12
70,Selokan Seberang Masjid Al Hidayah Kalirungkut,-7.322636,112.773424,refill,0,12
71,Selokan Sebrang Fresh Laundry Kalirungkut,-7.32269847461815,112.774548282136,refill,0,12
72,Selokan Samping SDN Kalirungkut I,-7.32255379464723,112.770578650812,refill,0,12
73,Sungai Samping SMAN 17,-7.327151,112.775338,refill,0,12
74,Sumur Tandon Depan MNC,-7.26826126187543,112.744299679104,refill,0,12
75,Selokan dekat Resto Niki Sae,-7.27280557175764,112.781375514003,refill,0,12
76,Selokan Depan RM Padang Sederhana,-7.28082898145867,112.781265780619,refill,0,12
77,Selokan Depan Sampoerna,-7.251463,112.663298,refill,0,12
78,Sumur Bor Depan Pizza Hut Jemursari,-7.32100116632713,112.746600407857,refill,0,12
79,Sungai Depan Jemur Andayani 1,-7.33167315711864,112.732177736442,refill,0,12
80,Selokan Pinggir SDN Jemur Wonosari 3,-7.32583422734679,112.740329317845,refill,0,12
81,Sungai Depan PT. Garam,-7.24469474974244,112.734649431406,refill,0,12
82,Sungai Depan RSGM Unair,-7.26527933726654,112.756704302445,refill,0,12
83,Selokan Depan Regency 21,-7.29312994123411,112.78394014185,refill,0,12
84,Sungai Seberang Apartemen Gunawangsa Menur,-7.289537,112.768956,refill,0,12
85,Sungai Depan ITATS,-7.28965836496907,112.779104382643,refill,0,12
86,Sungai Depan SPBU Manyar (Dekat RS Bedah),-7.28092811349137,112.771907561617,refill,0,12
87,SPBU Arah Jalan Tol Gresik,-7.244872311539666,112.71647682444902,refill,0,12
